Message,Label
44 7732584351 do you want a new nokia 3510i colour phone deliveredtomorrow with 300 free minutes to any mobile 100 free texts free camcorder reply or call 08000930705,spam
nutter cutter ctter cttergg cttargg ctargg ctagg ie you,ham
we know someone who you know that fancies you call 09058097218 to find out who pobox 6 ls15hb 150p,spam
princess is your kitty shaved or natural,ham
thankyou so much for the call i appreciate your care,ham
not yet hadya sapna aunty manege yday hogidhechinnu full weak and swalpa black agidhane,ham
nice line said by a broken heart plz dont cum 1 more times infront of me other wise once again i ll trust u good 9t,ham
download as many ringtones as u like no restrictions 1000s 2 choose u can even send 2 yr buddys txt sir to 80082 å£3,spam
yeah probably earlier than that,ham
u 447801259231 have a secret admirer who is looking 2 make contact with ufind out who they rreveal who thinks ur so specialcall on 09058094597,spam
kkfrom tomorrow onwards started ah,ham
ok lar i double check wif da hair dresser already he said wun cut v short he said will cut until i look nice,ham
lol i have to take it member how i said my aunt flow didnt visit for 6 months its cause i developed ovarian cysts bc is the only way to shrink them,ham
yup ive finished c ì there,ham
watching cartoon listening music amp at eve had to go temple amp church what about u,ham
maybe if you woke up before fucking 3 this wouldnt be a problem,ham
s but not able to sleep,ham
hey babe i saw you came online for a second and then you disappeared what happened,ham
alrite hunnywot u up 2 2nite didnt end up goin down town jus da pub instead jus chillin at da mo in me bedroomlove jen xxx,ham
you have won a guaranteed å£200 award or even å£1000 cashto claim ur award call free on 08000407165 18 2 stop getstop on 88222 php rg21 4jx,spam
dont forget who owns you and whos private property you are and be my good boy always passionate kiss,ham
please ask mummy to call father,ham
is there any training tomorrow,ham
im fine hope you are also,ham
dear uve been invited to xchat this is our final attempt to contact u txt chat to 86688,spam
urgent important information for 02 user today is your lucky day 2 find out why log onto httpwwwurawinnercom there is a fantastic surprise awaiting you,spam
sure thing big man i have hockey elections at 6 shouldnû÷t go on longer than an hour though,ham
yes my reg is ciao,ham
k makes sense btw carlos is being difficult so you guys are gonna smoke while i go pick up the second batch and get gas,ham
sorry ill call later in meeting,ham
double your mins txts on orange or 12 price linerental motorola and sonyericsson with btooth freenokia free call mobileupd8 on 08000839402 or2optouthv9d,spam
speak only when you feel your words are better than the silence gud mrng,ham
you said to me before i went back to bed that you cant sleep for anything,ham
k then 2marrow are you coming to class,ham
yup i thk cine is better cos no need 2 go down 2 plaza mah,ham
were on the opposite side from where we dropped you off,ham
also wheres the piece,ham
im reaching home in 5 min,ham
cool text me when youre parked,ham
cool i am ltgt inches long hope you like them big,ham
life spend with someone for a lifetime may be meaningless but a few moments spent with someone who really love you means more than life itself,ham
we have pizza if u want,ham
ahhh work i vaguely remember that what does it feel like lol,ham
hi its jess i dont know if you are at work but call me when u can im at home all eve xxx,ham
apart from the one i told you about yesterday,ham
yeah give me a call if youve got a minute,ham
sorry de i went to shop,ham
miss call miss call khelate kintu opponenter miss call dhorte lage thats d rule one with great phone receiving quality wins,ham
urgent we are trying to contact u todays draw shows that you have won a å£2000 prize guaranteed call 09066358361 from land line claim y87 valid 12hrs only,spam
somewhr someone is surely made 4 u and god has decided a perfect time to make u meet dat person till den enjoy ur crushes,ham
yo the game almost over want to go to walmart soon,ham
if india win or level series means this is record,ham
dorothykiefercom bank of granite issues strongbuy explosive pick for our members up over 300 nasdaq symbol cdgt that is a 500 per,spam
in which place i can get rooms cheap,ham
sir i am waiting for your call once free please call me,ham
lol oh you got a friend for the dog,ham
bank of granite issues strongbuy explosive pick for our members up over 300 nasdaq symbol cdgt that is a 500 per,spam
thanks for picking up the trash,ham
lol its ok i didnt remember til last nite,ham
how come she can get it should b quite diff to guess rite,ham
ok try to do week end course in coimbatore,ham
ok help me ask if shes working tmr a not,ham
ugh fuck it im resubbing to eve,ham
i have had two more letters from i will copy them for you cos one has a message for you speak soon,ham
private your 2003 account statement for 07808 xxxxxx shows 800 unredeemed s i m points call 08719899217 identifier code 41685 expires 071104,spam
university of southern california,ham
sorry that was my uncle ill keep in touch,ham
chk in ur belovd ms dict,ham
thank u it better work out cause i will feel used otherwise,ham
hope you are having a good week just checking in,ham
i dont have i shall buy one dear,ham
is xy in ur car when u picking me up,ham
yeah imma come over cause jay wants to do some drugs,ham
k still are you loving me,ham
are u coming to the funeral home,ham
i love you both too,ham
nope watching tv at home not going out v bored,ham
also are you bringing galileo or dobby,ham
ya they are well and fine bbdpooja full pimpleseven she become quite blackand ur rite here its too cold wearing sweatter,ham
i dunno until when lets go learn pilates,ham
yup im still having coffee wif my frens my fren drove shell give me a lift,ham
apps class varaya elaya,ham
now am free call me pa,ham
was it something u ate,ham
whens your radio show,ham
siva is in hostel aha,ham
a bit of ur smile is my hppnss a drop of ur tear is my sorrow a part of ur heart is my life a heart like mine wil care for u forevr as my goodfriend,ham
ugh my leg hurts musta overdid it on mon,ham
ill be at yours in about 3 mins but look out for me,ham
ìï only send me the contents page,ham
smith waste dai wanna gayle,ham
i need you to be in my strong arms,ham
hey hunonbus goin 2 meet him he wants 2go out 4a meal but i donyt feel like it cuz have 2 get last bus homebut hes sweet latelyxxx,ham
please tell me you have some of that special stock you were talking about,ham
how long does applebees fucking take,ham
i can make it up there squeezed ltgt bucks out of my dad,ham
and whenever you and i see we can still hook up too,ham
do you know when the result,ham
then we wait 4 u lor no need 2 feel bad lar,ham
i think its far more than that but find out check google maps for a place from your dorm,ham
i have many dependents,ham
badrith is only for chennaii will surely pick for usno competition for him,ham
you are being contacted by our dating service by someone you know to find out who it is call from your mobile or landline 09064017305 pobox75ldns7,spam
babe im back come back to me,ham
your gonna have to pick up a 1 burger for yourself on your way home i cant even move pain is killing me,ham
i jus reached home i go bathe first but my sis using net tell u when she finishes k,ham
how are you my love are you with your brother time to talk english with him grins say hey muhommad penny says hello from across the sea,ham
you have 1 new voicemail please call 08719181503,spam
sorry u can not unsubscribe yet the mob offer package has a min term of 54 weeks pls resubmit request after expiry reply themob help 4 more info,spam
ltgt great loxahatchee xmas tree burning update you can totally see stars here,ham
i got like ltgt i can get some more later though get whatever you feel like,ham
yeah probably but not sure ilol let u know but personally i wuldnt bother then again if ur goin to then i mite as well,ham
enjoy the showers of possessiveness poured on u by ur loved ones bcoz in this world of lies it is a golden gift to be loved truly,ham
its cool we can last a little while getting more any time soon,ham
no management puzzeles,ham
you have come into my life and brought the sun shiny down on me warming my heart putting a constant smile on my face making me feel loved and cared for,ham
where to get those,ham
themob check out our newest selection of content games tones gossip babes and sport keep your mobile fit and funky text wap to 82468,spam
im in office now dawhere are you,ham
how abt making some of the pics bigger,ham
thanx 4 2day u r a goodmate i think ur rite sary asusual1 u cheered me up love u franyxxxxx,ham
i dont knw pa i just drink milk,ham
pete can you please ring meive hardly gotany credit,ham
no pic please resend,ham
call 09090900040 listen to extreme dirty live chat going on in the office right now total privacy no one knows your sic listening 60p min 247mp 0870753331018,spam
well i know z will take care of me so no worries,ham
webpage s not available,ham
jus telling u dat ill b leaving 4 shanghai on 21st instead so well haf more time 2 meet up cya,ham
dont show yourself how far put new pictures up on facebook,ham
goodo yes we must speak friday eggpotato ratio for tortilla needed,ham
i had it alreadysabarish asked me to go,ham
okey dokey iû÷ll be over in a bit just sorting some stuff out,ham
anyway i dont think i can secure anything up here lemme know if you want me to drive down south and chill,ham
thanx 4 the time weåõve spent 2geva its bin mint ur my baby and all i want is uxxxx,ham
this message is from a great doctor in india 1 do not drink appy fizz it contains cancer causing age,ham
havent,ham
aiyo cos i sms ì then ì neva reply so i wait 4 ì to reply lar i tot ì havent finish ur lab wat,ham
will be out of class in a few hours sorry,ham
thanks and or bomb and date as my phone wanted to say,ham
studying but ill be free next weekend,ham
oh ok i didnt know what you meant yep i am baby jontin,ham
the fact that youre cleaning shows you know why im upset your priority is constantly what i want to do not what i need to do,ham
there the size of elephant tablets u shove um up ur ass,ham
hanks lotsly,ham
yeah ill leave in a couple minutes amp let you know when i get to mu,ham
not really dude have no friends im afraid,ham
i know you are thinkin malaria but relax children cant handle malaria she would have been worse and its gastroenteritis if she takes enough to replace her loss her temp will reduce and if you give her malaria meds now she will just vomit its a self limiting illness she has which means in a few days it will completely stop,ham
lul im gettin some juicy gossip at the hospital two nurses are talking about how fat they are gettin and one thinks shes obese oyea,ham
good no swimsuit allowed,ham
oh yeah i forgot u can only take 2 out shopping at once,ham
no prob i will send to your email,ham
she said do u mind if i go into the bedroom for a minute ok i sed in a sexy mood she came out 5 minuts latr wid a caken my wife,ham
should i buy him a blackberry bold 2 or torch should i buy him new or used let me know plus are you saying i should buy the ltgt g wifi ipad and what are you saying about the about the ltgt g,ham
mon okie lor haha best is cheap n gd food la ex oso okie depends on whether wana eat western or chinese food den which u prefer,ham
kkwhen are you going,ham
he fucking chickened out he messaged me he would be late and woould buzz me and then i didnt hear a word from him,ham
no one interested may be some business plan,ham
i want to be there so i can kiss you and feel you next to me,ham
k im leaving soon be there a little after 9,ham
im reading the text i just sent you its meant to be a joke so read it in that light,ham
are you staying in town,ham
u have a secret admirer who is looking 2 make contact with ufind out who they rreveal who thinks ur so specialcall on 09058094594,spam
your b4u voucher wc 2703 is marsms log onto wwwb4utelecom for discount credit to opt out reply stop customer care call 08717168528,spam
good afternoon my boytoy how are you feeling today better i hope are you being my good boy are you my obedient slave do you please your queen,ham
even i cant close my eyes you are in me our vava playing umma d,ham
ive been trying to reach him without success,ham
i hope you know im still mad at you,ham
im still pretty weak today bad day,ham
no need lar i go engin cos my sis at arts today,ham
sorry im not free,ham
no no i will check all rooms befor activities,ham
nohe joined today itself,ham
no callsmessagesmissed calls,ham
im aight wats happening on your side,ham
rofl betta invest in some anti aging products,ham
am surfing online store for offers do you want to buy any thing,ham
is that seriously how you spell his name,ham
is there any movie theatre i can go to and watch unlimited movies and just pay once,ham
how will i creep on you now,ham
no gifts you trying to get me to throw myself off a cliff or something,ham
no shit but i wasnt that surprised so i went and spent the evening with that french guy i met in town here and we fooled around a bit but i didnt let him fuck me,ham
k ill head out in a few mins see you there,ham
remember on that day,ham
im in a movie collect car oredi,ham
hahahause your brain dear,ham
babe i love you covers your face in kisses,ham
here got ur favorite oyster n got my favorite sashimi ok lar i dun say already wait ur stomach start rumbling,ham
jesus armand really is trying to tell everybody he can find,ham
yeah thats what i thought lemme know if anythings goin on later,ham
u r subscribed 2 textcomp 250 wkly comp 1st wks free question follows subsequent wks charged150pmsg2 unsubscribe txt stop 2 84128custcare 08712405020,spam
moji i love you more than words have a rich day,ham
have good weekend,ham
we tried to call you re your reply to our sms for a video mobile 750 mins unlimited text free camcorder reply of call 08000930705 now,spam
im on the bus love you,ham
give me a sec to think think about it,ham
dont necessarily expect it to be done before you get back though because im just now headin out,ham
sounds great im going to sleep now have a good night,ham
ringtone club get the uk singles chart on your mobile each week and choose any top quality ringtone this message is free of charge,spam
dis is yijue i jus saw ur mail in case huiming havent sent u my num dis is my num,ham
nope i just forgot will show next week,ham
free entry into our å£250 weekly competition just text the word win to 80086 now 18 tc wwwtxttowincouk,spam
oh ic i thought you meant mary jane,ham
po de no need job aha,ham
umma my life and vava umma love you lot dear,ham
you are right meanwhile hows project twins comin up,ham
get a free mobile video player free movie to collect text go to 89105 its free extra films can be ordered ts and cs apply 18 yrs only,spam
aiyar u so poor thing i give u my support k jia you ill think of u,ham
what u wearing,ham
oh did you charge camera,ham
hey a guy i know is breathing down my neck to get him some bud anyway youd be able to get a half track to usf tonight,ham
oh oh wasted den muz chiong on sat n sun liao,ham
hey i will be late im at amk need to drink tea or coffee,ham
xmas iscoming ur awarded either å£500 cd gift vouchers free entry 2 r å£100 weekly draw txt music to 87066 tnc wwwldewcom1win150ppmx3age16subscription,spam
yoyyooo u know how to change permissions for a drive in mac my usb flash drive,ham
well done blimey exercise yeah i kinda remember wot that is hmm,ham
i am going to sleep i am tired of travel,ham
hi my email address has changed now it is,ham
dear i have reache room,ham
good friends care for each other close friends understand each other and true friends stay forever beyond words beyond time gud ni8,ham
i have a sore throat its scratches when i talk,ham
i will be gentle princess we will make sweet gentle love,ham
friends that u can stay on fb chat with,ham
you should know now so hows anthony are you bringing money ive school fees to pay and rent and stuff like that thats why i need your help a friend in need,ham
hmm ill have to think about it ok youre forgiven d,ham
i know you mood off today,ham
we tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow,spam
frndship is like a needle of a clock though v r in d same clock v r nt able 2 met evn if v meetitz only 4few seconds bt v alwys stay conected gud 9t,ham
okay we wait ah,ham
lol yes our friendship is hanging on a thread cause u wont buy stuff,ham
come around ltdecimalgt pm vikkyim otside nw il come by tht time,ham
mark works tomorrow he gets out at 5 his work is by your house so he can meet u afterwards,ham
sorry man my accounts dry or i would if you want we could trade back half or i could buy some shit with my credit card,ham
goodnight da thangam i really miss u dear,ham
sorry dai was thought of calling you lot of timeslil busyi will call you at noon,ham
awesome ill see you in a bit,ham
he has lots of used ones babe but the model doesnt help youi have to bring it over and hell match it up,ham
k k sms chat with me,ham
quite ok but a bit ex u better go eat smth now else ill feel guilty,ham
freemsg fancy a flirt reply date now join the uks fastest growing mobile dating service msgs rcvd just 25p to optout txt stop to 83021 reply date now,spam
i know you are serving i mean what are you doing now,ham
only if you promise your getting out as soon as you can and youll text me in the morning to let me know you made it in ok,ham
then she buying today ìï no need to c meh,ham
good stuff will do,ham
guess he wants alone time we could just show up and watch when they do,ham
last chance 2 claim ur å£150 worth of discount voucherstext yes to 85023 nowsavamobmember offers mobile t cs 08717898035 å£300 sub 16 remove txt x or stop,spam
was just about to ask will keep this one maybe thats why you didnt get all the messages we sent you on glo,ham
honeybee said im d sweetest in d world god laughed amp said waitu havnt met d person reading this msg moral even god can crack jokes gmgngegn,ham
call me i am senthil from hsbc,ham
so how are you really what are you up to hows the masters and so on,ham
nt joking seriously i told,ham
mm i had my food da from out,ham
haha awesome i might need to take you up on that what you doin tonight,ham
im in chennai velachery,ham
sounds great are you home now,ham
yes i think so i am in office but my lap is in room i think thats on for the last few days i didnt shut that down,ham
nothing can,ham
thank you and by the way i just lost,ham
ok,ham
i think u have the wrong number,ham
whos this am in class,ham
god picked up a flower and dippeditinadew lovingly touched itwhichturnedinto u and the he gifted tomeandsaidthis friend is 4u,ham
sure i am driving but will reach my destination soon,ham
do you work all this week,ham
wen ur lovable bcums angry wid u dnt take it seriously coz being angry is d most childish n true way of showing deep affection care n luv kettoda manda have nice day da,ham
hello good week fancy a drink or something later,ham
u dont remember that old commercial,ham
easy mate guess the quick drink was bit ambitious,ham
yes when is the appt again,ham
she was supposed to be but couldnt make it shes still in town though,ham
are u awake is there snow there,ham
i call you later dont have network if urgnt sms me,ham
then ì wait 4 me at bus stop aft ur lect lar if i dun c ì then i go get my car then come back n pick ì,ham
thats cool i liked your photos you are very sexy,ham
you can never do nothing,ham
how much she payed suganya,ham
good do you think you could send me some pix i would love to see your top and bottom,ham
if u laugh really loud if u talk spontaneously if u dont care what others feel u are probably with your dear amp best friends goodevening dear,ham
no messageno responcewhat happend,ham
hmm well night night,ham
must come later i normally bathe him in da afternoon mah,ham
just gettin a bit arty with my collages at the mo well tryin 2 ne way got a roast in a min lovely i shall enjoy that,ham
yep by the pretty sculpture,ham
how long before you get reply just defer admission til next semester,ham
im wif him now buying tix lar,ham
i tagged my friends that you seemed to count as your friends,ham
have you finished work yet,ham
where you what happen,ham
do you know when dad will be back,ham
2 celebrate my båõday y else,ham
free message activate your 500 free text messages by replying to this message with the word free for terms conditions visit www07781482378com,spam
ambrithmaduraimet u in arun dha marrgeremembr,ham
goldviking 29m is inviting you to be his friend reply yes762 or no762 see him wwwsmsacugoldviking stop send stop frnd to 62468,spam
they dont put that stuff on the roads to keep it from getting slippery over there,ham
natalie 20f is inviting you to be her friend reply yes165 or no165 see her wwwsmsacunatalie2k9 stop send stop frnd to 62468,spam
come to mu were sorting out our narcotics situation,ham
ceri u rebel sweet dreamz me little buddy c ya 2moro who needs blokes,ham
lol enjoy role playing much,ham
no messages on her phone im holding it now,ham
u too,ham
beautiful truth against gravity read carefully our heart feels light when someone is in it but it feels very heavy when someone leaves it goodmorning,ham
my battery is low babe,ham
in life when you face choices just toss a coin not becoz its settle the question but while the coin in the air u will know what your heart is hoping for gudni8,ham
and how you will do that princess,ham
buy space invaders 4 a chance 2 win orig arcade game console press 0 for games arcade std wap charge see o2coukgames 4 terms settings no purchase,spam
i think were going to finns now come,ham
oooh i got plenty of those,ham
why did i wake up on my own gt,ham
dhoni have luck to win some big titleso we will win,ham
then its most likely called mittelschmertz google it if you dont have paracetamol dont worry it will go,ham
awesome think we can get an 8th at usf some time tonight,ham
r u sure theyll understand that wine good idea just had a slurp,ham
its still not working and this time i also tried adding zeros that was the savings the checking is ltgt,ham
lol great now im getting hungry,ham
wherres my boytoy,ham
happy new year my dear brother i really do miss you just got your number and decided to send you this text wishing you only happiness abiola,ham
i shall book chez jules for half eight if thats ok with you,ham
do you know where my lab goggles went,ham
i anything lor,ham
tell them u have a headache and just want to use 1 hour of sick time,ham
you are now unsubscribed all services get tons of sexy babes or hunks straight to your phone go to httpgotbabescouk no subscriptions,spam
some are lasting as much as 2 hours you might get lucky,ham
dad went out oredi,ham
will do you gonna be at blakes all night i might be able to get out of here a little early,ham
mm not entirely sure i understood that text but hey ho which weekend,ham
todays voda numbers ending 5226 are selected to receive a 350 award if you hava a match please call 08712300220 quoting claim code 1131 standard rates app,spam
you have won 1000 cash or a 2000 prize to claim call09050000327 tc rstm sw7 3ss 150ppm,spam
my phone,ham
finish already yar they keep saying i mushy i so embarrassed ok,ham
5p 4 alfie moons children in need song on ur mob tell ur m8s txt tone charity to 8007 for nokias or poly charity for polys zed 08701417012 profit 2 charity,spam
what do you do my dog must i always wait till the end of your day to have word from you did you run out of time on your cell already,ham
you have 1 new message please call 08715205273,spam
i am back bit long cos of accident on a30 had to divert via wadebridgei had a brilliant weekend thanks speak soon lots of love,ham
yo im at my parents gettin cash good news we picked up a downstem,ham
they said ì dun haf passport or smth like dat or ì juz send to my email account,ham
free entry into our å£250 weekly comp just send the word win to 80086 now 18 tc wwwtxttowincouk,spam
love has one law make happy the person you love in the same way friendship has one law never make ur friend feel alone until you are alive gud night,ham
i know that my friend already told that,ham
ok can be later showing around 8830 if you want cld have drink before wld prefer not to spend money on nosh if you dont mind as doing that nxt wk,ham
dnt worryuse ice pieces in a cloth packalso take 2 tablets,ham
think i might have to give it a miss am teaching til twelve then have lecture at two damn this working thing,ham
were finally ready fyi,ham
can dunno wat to get 4 her,ham
beautiful truth against gravity read carefully our heart feels light when someone is in it but it feels very heavy when someone leaves it good night,ham
hiya how was last night ive been naughty and bought myself clothes and very little ready for more shopping tho what kind of time do you wanna meet,ham
k ill work something out,ham
lol grins im not babe but thanks for thinking of me,ham
what is important is that you prevent dehydration by giving her enough fluids,ham
when u love someone dont make them to love u as much as u do but love them so much that they dont want to be loved by anyone except you gud nit,ham
its ok lar u sleep early too nite,ham
so hows the weather over there,ham
i uploaded mine to facebook,ham
the gas station is like a block away from my house youll drive right by it since armenia ends at swann and you have to take howard,ham
cant i feel nauseous im so pissed i didnt eat any sweets all week cause today i was planning to pig out i was dieting all week and now im not hungry,ham
how are you babes hope your doing ok i had a shit nights sleep i fell asleep at 5iåõm knackered and iåõm dreading work tonight what are thou upto tonight x,ham
youre right i have now that i think about it,ham
urgent your mobile no won a å£2000 bonus caller prize on 020603 this is the 2nd attempt to reach you call 09066362220 asap box97n7qp 150ppm,spam
wait thats still not all that clear were you not sure about me being sarcastic or that thats why x doesnt want to live with us,ham
call freephone 0800 542 0578 now,spam
lol wtf random btw is that your lunch break,ham
